album title,song title,song id,year
The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition),Subterranean Homesick Blues (Take 1),6222985,2016
Love and Theft,Sugar Baby,201458,2001
N/A,Sugar Baby,201458,N/A
Love and Theft,Summer Days,124204,2001
N/A,Summer Days,124204,N/A
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Suze (The Cough Song),200873,1991
N/A,Suze (The Cough Song),200873,N/A
N/A,Sweetheart Like You,199947,N/A
Infidels,Sweetheart Like You,199947,1983
N/A,T for Texas,5672500,N/A
N/A,T.V. Talkin' Song,200679,N/A
Under the Red Sky,T.V. Talkin' Song,200679,1990
Self Portrait,Take Me As I Am (Or Let Me Go),199459,1970
N/A,Take Me As I Am (Or Let Me Go),199459,N/A
Self Portrait,Take a Message to Mary,199460,1970
N/A,Take a Message to Mary,199460,N/A
N/A,Talkin' Bear Mountain Picnic Massacre Blues,2506,N/A
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Talkin' Bear Mountain Picnic Massacre Blues,2506,1991
N/A,Talkin' Bear Mountain Picnic Massacre Blues [Brandeis 1963],4848830,N/A
Bob Dylan In Concert: Brandeis University 1963 ,Talkin' Bear Mountain Picnic Massacre Blues [Brandeis 1963],4848830,2011
N/A,Talkin' Hava Negeilah Blues,200741,N/A
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Talkin' Hava Negeilah Blues,200741,1991
N/A,Talkin' John Birch Blues (Limited Release Only),2924239,N/A
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",Talkin' John Birch Paranoid Blues,117515,2010
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",Talkin' John Birch Paranoid Blues,117515,2004
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Talkin' John Birch Paranoid Blues,117515,1991
N/A,Talkin' John Birch Paranoid Blues,117515,N/A
N/A,Talkin' John Birch Paranoid Blues [Brandeis 1963],4848811,N/A
Bob Dylan In Concert: Brandeis University 1963 ,Talkin' John Birch Paranoid Blues [Brandeis 1963],4848811,2011
N/A,Talkin' New York,117497,N/A
Bob Dylan,Talkin' New York,117497,1962
N/A,Talkin' World War III Blues,75188,N/A
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",Talkin' World War III Blues,75188,2004
The Freewheelin' Bob Dylan,Talkin' World War III Blues,75188,1963
N/A,Talkin' World War III Blues [Brandeis 1963],4848819,N/A
Bob Dylan In Concert: Brandeis University 1963 ,Talkin' World War III Blues [Brandeis 1963],4848819,2011
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",Talking Bear Mountain Picnic Massacre Blues,1487593,2010
N/A,Talking Bear Mountain Picnic Massacre Blues,1487593,N/A
N/A,Talking World War III Blues,1706398,N/A
N/A,Tangled Up In Blue (Real Live version),4492859,N/A
Real Live,Tangled Up In Blue (Real Live version),4492859,1984
